,会員ID,登録施設,性別,生まれ年,回答時の年齢,年代,都道府県,会員市町村,世帯年収,UA,回答日時,回答月,回答エリア,回答エリア2,市町村,6分類,DMO,宿泊数（全体）,宿泊数（県内）,宿泊エリア（県内）,宿泊エリア（県外）,同行者,訪問目的ALL,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他,情報収集ALL,観光展・物産展,新聞・雑誌・ガイドブック,TV・ラジオ番組やCM,観光パンフレット・ポスター,観光連盟やDMOのHP,インターネット・アプリ,Twitter,Instagram,Facebook,ブログ,友人・知人,観光協会等の案内所,タクシードライバーや地元の人,宿泊施設,福井県までの交通手段ALL,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,福井県内での交通手段ALL,タクシー,路線バス,徒歩,レンタサイクル,福井県内での交通手段の満足度,福井県内での交通手段の満足度の理由,宿泊費,交通費,県内消費額,エリア訪問回数,アンケート回答前に訪問した主な場所,アンケート回答前に訪問した主な場所FA,アンケート回答後に訪問する予定の主な場所,アンケート回答後に訪問する予定の主な場所FA,エリア総消費額,満足度,満足度の理由,不便さ,不便さの内容,NPS,推奨項目,施設に求めるもの,今後の来訪意向,福井県に求めるもの,color
0,101150,福井駅前 エリア,1,2001,21,20代,滋賀県,草津市,100万円未満,mobile/iphone,2022-04-28 20:56:22,4月,福井駅前 エリア,04.福井駅前 エリア,福井市,福井市・永平寺町,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,滋賀県,自分ひとり,"お祭りやイベントへの参加・見物
まちあるき、都市散策
",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"観光協会等の案内所
",0,0,0,0,0,0,0,0,0,0,0,1,0,0,"在来線
",0,0,0,0,0,0,0,"レンタサイクル
",0,0,0,1,とても満足,,"1,000円未満","10,000円以上 20,000円未満","1,000円未満",初めて,北の庄城址・柴田公園,,選択なし/該当施設なし,アルプラザ武生,"1,000円未満",4,,感じた,電車の本数が少な過ぎる,5,,,機会があれば行きたい,,blue
2,101126,web,2,1983,39,30代,福井県,今立郡,200万円以上 300万円未満,mobile/iphone,2022-04-28 16:26:05,4月,ツリーピクニックアドベンチャーいけだ エリア,36.ツリーピクニックアドベンチャーいけだ エリア,池田町,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,友人,"アウトドア（海水浴、釣り、登山など）
友人・親戚を尋ねる
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"インターネット・アプリ
Instagram
",0,0,0,0,0,1,0,1,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,使わない,"1,000円未満","5,000円以上 10,000円未満",2～5回目,選択なし/該当施設なし,鯖江市内（野尻ケイク）,選択なし/該当施設なし,池田町（酔虎夢）,"5,000円以上 10,000円未満",4,天気が良く、思う存分楽しめた。,感じた,池田町内に、公共の交通手段がないので移動が困った。バスを走らせてほしい。,9,日常の慌しさを忘れさせてくれる自然豊かな所だから。,福井駅にあるようなお土産の幅が少ないのでもっと並べてほしい。ただ、池田町ならではのものがたくさんあるので、それはそれで価値があると感じました。,機会があれば行きたい,美味しいものものも名産もたくさんあるところなので、福井の魅力はあると思います。あとは県民の方がもっと前向きに売り込んだら良いのになぁと感じます。,blue
4,100050,web,1,1960,62,60代,福井県,鯖江市,400万円以上 500万円未満,mobile/android,2022-04-28 16:11:47,4月,道の駅「パークイン丹生ヶ丘」 エリア,39.道の駅「パークイン丹生ヶ丘」 エリア,越前町,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,自分ひとり,"地元の美味しいものを食べる
その他
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"観光パンフレット・ポスター
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,とても満足,駐車場が広かった。,使わない,"1,000円未満","3,000円以上 5,000円未満",初めて,選択なし/該当施設なし,,道の駅「越前」,,"3,000円以上 5,000円未満",4,ご当地商品の品揃えが豊富だった。,感じなかった,,9,品揃えが豊富だったこと。,,福井県在住,,blue
8,101130,東尋坊 エリア,2,1985,37,30代,鹿児島県,霧島市,800万円以上 900万円未満,mobile/iphone,2022-04-28 14:20:39,4月,東尋坊 エリア,06.東尋坊 エリア,坂井市,あわら市・坂井市,(一社)DMOさかい観光局,4泊以上,4泊以上,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,小学生以下連れの家族,"地元の美味しいものを食べる
友人・親戚を尋ねる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,えちぜん鉄道,"友人・知人
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"新幹線
在来線
",0,0,1,0,0,0,0,"路線バス
その他
",0,1,0,0,とても満足,時間があっていて乗り換えやすかった。,使わない,"50,000円以上 100,000円未満","1,000円以上 3,000円未満",6～10回目,福井県立恐竜博物館,,選択なし/該当施設なし,エンゼルランド,"1,000円未満",5,こどもが、楽しんで歩いていた,感じた,子供用トイレがほしい,10,自然、人がいい,,また行きたい（1年以内）,,blue
10,101121,web,2,1985,37,30代,福井県,三方上中郡,"1,200万円以上 1,500万円未満",mobile/iphone,2022-04-28 14:18:39,4月,福井県立若狭歴史博物館 エリア,55.福井県立若狭歴史博物館 エリア,小浜市,嶺南西部,(株)まちづくり小浜,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,自分ひとり,"テーマパーク（遊園地、動物園、博物館など）
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,"5,000円以上 10,000円未満","1,000円以上 3,000円未満","3,000円以上 5,000円未満",6～10回目,選択なし/該当施設なし,萬徳寺,選択なし/該当施設なし,若州一滴文庫,"1,000円未満",5,地元の文化や風習について、大変勉強になります。,感じた,駅から博物館までの道のりに飲食店がないこと,10,小浜・遠敷周辺には古寺が多く、見所が多いと感じました。,博物館の徒歩圏内でチェーン店以外でランチができるような飲食店があればありがたいです。,また行きたい（1年以内）,福井には豊かな自然や文化財など、隠れた見所はたくさんあります。しかしアクセスが悪いのが難点です。嶺南は特に京都・滋賀など関西圏に近いので、例えば上中から京都に出る為の交通がもう少ししっかりあれば、県外からも訪れやすくなるのではないでしょうか。,blue
11,101128,道の駅「越前おおの荒島の郷」 エリア,2,1967,55,50代,石川県,金沢市,100万円以上 200万円未満,mobile/iphone,2022-04-28 14:12:42,4月,道の駅「越前おおの荒島の郷」 エリア,16.道の駅「越前おおの荒島の郷」 エリア,大野市,勝山市・大野市,,1泊,福井県内には宿泊しない,福井県内には宿泊しない,石川県加賀市,恋人,"宿でのんびり過ごす
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,どちらでもない,道が狭い所が多く少し運転が不安,使わない,"1,000円未満","5,000円以上 10,000円未満",初めて,選択なし/該当施設なし,竹田の里　谷口厚揚げ店,選択なし/該当施設なし,,"10,000円以上 20,000円未満",5,"地元の野菜や名産品が大好き。
またスキーをするのでモンベルでウェアを選べた",感じなかった,,5,とても広く、様々な北陸、福井の名産品や野菜など選べるが、モンベルに用事があれば良いがなければ金沢市からここまでくるにはちょっとだけ遠い,カフェも、農産物もあり個人的には大満足！です、お掃除もゆきわたり清潔で明るく過ごしやすい点もおおの荒島さんは満点です,また行きたい（1年以内）,,blue
13,101082,五湖の駅 エリア,2,1994,28,20代,東京都,世田谷区,200万円以上 300万円未満,mobile/iphone,2022-04-28 12:59:56,4月,福井駅前 エリア,04.福井駅前 エリア,福井市,福井市・永平寺町,,4泊以上,4泊以上,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,その他家族,"地元の美味しいものを食べる
花見や紅葉などの自然鑑賞
まちあるき、都市散策
各種体験（手作り、果物狩りなど）
",0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"観光展・物産展
新聞・雑誌・ガイドブック
観光パンフレット・ポスター
Instagram
",1,1,0,1,0,0,0,1,0,0,0,0,0,0,"新幹線
在来線
",1,0,1,0,0,0,0,"自家用車
",0,0,0,0,選択肢なし,,"10,000円以上 20,000円未満","30,000円以上 40,000円未満","10,000円以上 20,000円未満",初めて,水晶浜海水浴場,,選択なし/該当施設なし,福井市美術館,"1,000円以上 3,000円未満",5,福井駅前、何十年ぶりくらいに行きましたが、とても綺麗になっていて感激しました！木梨憲武展にもいきましたが、とてもよかったです。お土産売り場で最終ぎりぎりになり、時間が過ぎてしまったのですが、スタッフの皆様、警備の方までみんな優しく、大丈夫ですよと声をかけていただき、欲しいものも無事買えて、よかったです。途中寄った五胡の駅も、田んぼの見えるレストラン、いいですね。また時間があれば次回ゆっくり寄りたいです。あ、あとはテレビで話題になっていた吉田食堂の長いアイスもたべました。初めての長さで面白かったです！途中寄った水晶浜も綺麗でした。夏にまた来たいです！,感じなかった,,10,吉田食堂のアイス、福井市美術館、福井駅前など、立ち寄ったところはどこも満喫できました。人も優しく、都会から来るとほっとします。,福井県の名産品がたくさんあったので、お土産選びに迷わずとてもよかったです。,また行きたい（1年以内）,やはり海鮮など地元の食材を使ったおいしくてお手頃で食べれるお料理はいいですね。都会だと高いし味も劣るので、美味しいご飯をたっぷり食べて帰りたいです。,blue
14,101086,福井駅前 エリア,2,1994,28,20代,福井県,福井市,400万円以上 500万円未満,mobile/iphone,2022-04-28 12:50:14,4月,福井駅前 エリア,04.福井駅前 エリア,福井市,福井市・永平寺町,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,恋人,"買い物、アウトレット
お祭りやイベントへの参加・見物
",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"観光展・物産展
新聞・雑誌・ガイドブック
TV・ラジオ番組やCM
観光パンフレット・ポスター
Twitter
Instagram
友人・知人
",1,1,1,1,0,0,1,1,0,0,1,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
路線バス
",0,1,0,0,どちらでもない,スピードが早く立って乗ると危険,"5,000円以上 10,000円未満","1,000円以上 3,000円未満","1,000円以上 3,000円未満",6～10回目,足羽川桜並木,,大本山永平寺,,"10,000円以上 20,000円未満",4,,感じなかった,,8,,,福井県在住,,blue
15,101108,web,1,1968,54,50代,福井県,越前市,700万円以上 800万円未満,mobile/iphone,2022-04-28 12:16:22,4月,うるしの里 エリア,34.うるしの里 エリア,鯖江市,丹南,,日帰り,福井県内には宿泊しない,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,自分ひとり,"買い物、アウトレット
",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","3,000円以上 5,000円未満","5,000円以上 10,000円未満",11回目以上,選択なし/該当施設なし,,福井県年縞博物館,,"10,000円以上 20,000円未満",5,会館がとても綺麗になっていた。,感じなかった,,7,,,福井県在住,,blue
19,101098,道の駅「越前おおの荒島の郷」 エリア,2,1982,40,40代,福井県,丹生郡,"1,000万円以上 1,200万円未満",mobile/android,2022-04-28 00:06:15,4月,道の駅「越前おおの荒島の郷」 エリア,16.道の駅「越前おおの荒島の郷」 エリア,大野市,勝山市・大野市,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,恋人,"買い物、アウトレット
",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Instagram
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,"20,000円以上 30,000円未満","1,000円未満","20,000円以上 30,000円未満",6～10回目,選択なし/該当施設なし,,選択なし/該当施設なし,,"20,000円以上 30,000円未満",5,,感じなかった,,8,同僚　アウトドアの充実、美味しい食材が豊富,"野菜の多さ
お年寄りが買い物しやすそうだった",福井県在住,,blue
